lat,lon,radius_km
47.16,-119.852,1
-30.933,147.87,1
-31.908,26.881,1
39.957,-91.378,1
36.933,14.68,1
43.27,24.275,1
43.105,-78.675,1
-35.594,146.579,1
56.522,9.921,1
-33.842,146.262,1
56.588,10.192,1
54.811,8.291,1
48.918,17.156,1
-33.597,120.071,1
-37.954,146.389,1
32.495,-91.758,1
41.041,-86.222,1
48.747,-3.253,1
47.271,5.822,1
55.285,-2.28,1
-27.798,28.43,1
48.952,8.58,1
49.502,4.355,1
45.471,-76.665,1
50.449,-104.525,1
49.868,7.334,1
41.279,-3.48,1
42.976,-5.006,1
55.333,8.867,1
45.264,0.337,1
-21.196,-47.759,1
50.878,11.121,1
52.486,8.026,1
52.227,14.175,1
56.655,23.808,1
43.348,0.916,1
43.199,-96.316,1
42.399,-94.616,1
52.644,-114.223,1
48.514,-68.461,1
-35.91,141.993,1
-28.077,153.381,1
51.229,-101.377,1
41.899,-89.061,1
44.367,2.572,1
48.767,11.97,1
55.937,25.582,1
53.47,13.977,1
51.563,10.194,1
57.777,11.616,1
56.708,8.981,1
40.418,-86.57,1
